"tgl_transaksi","nama_sales","harga_asli","customer","tipe_produk","nama","domisili","usia","name","start_date","end_date","budget"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"28/2/2021","Octroy","Rp41,000.00","Ade","Produk A","Ade","Jawa Barat","42","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"26/3/2021","Octroy","Rp255,000.00","Ixoim","Produk D","Ixoim","Jawa Barat","38","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"20/3/2021","Octroy","Rp1,025,000.00","Yinoh","Produk C","Yinoh","Bali","39","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 6","1/6/2021","30/6/2021","Rp30,000,000.00"
"16/4/2021","Dena","Rp25,000.00","Oozu","Produk C","Oozu","Jawa Barat","17","Campaign 7","1/7/2021","31/7/2021","Rp37,000,000.00"
"1/5/2021","Octroy","Rp2,899,000.00","Bzayan","Produk B","Bzayan","Jawa Barat","18","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"1/5/2021","Octroy","Rp2,899,000.00","Bzayan","Produk B","Bzayan","Jawa Barat","18","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
"1/5/2021","Octroy","Rp2,899,000.00","Bzayan","Produk B","Bzayan","Jawa Barat","18","Campaign 3","1/3/2021","31/3/2021","Rp23,000,000.00"
"1/5/2021","Octroy","Rp2,899,000.00","Bzayan","Produk B","Bzayan","Jawa Barat","18","Campaign 4","1/4/2021","30/4/2021","Rp35,000,000.00"
"1/5/2021","Octroy","Rp2,899,000.00","Bzayan","Produk B","Bzayan","Jawa Barat","18","Campaign 5","1/5/2021","31/5/2021","Rp36,000,000.00"
"1/3/2021","Aini","Rp385,000.00","Cuphulien","Produk D","Cuphulien","Jawa Barat","42","Campaign 1","1/1/2021","31/1/2021","Rp10,000,000.00"
"1/3/2021","Aini","Rp385,000.00","Cuphulien","Produk D","Cuphulien","Jawa Barat","42","Campaign 2","1/2/2021","28/2/2021","Rp14,000,000.00"
